Word,Root,Suffix1,Suffix2,Wordlength
modally,mod,al,ly,7
sensory,sens,or,y,7
fatally,fat,al,ly,7
fifthly,fif,th,ly,7
curably,cur,abl,y,7
movably,mov,abl,y,7
cubical,cub,ic,al,7
sixthly,six,th,ly,7
tenthly,ten,th,ly,7
woodenly,wood,en,ly,8
woefully,woe,ful,ly,8
wilfully,will,ful,ly,8
sinfully,sin,ful,ly,8
rottenly,rott,en,ly,8
fourthly,four,th,ly,8
egoistic,ego,ist,ic,8
lawfilly,law,ful,ly,8
manfully,man,ful,ly,8
heroical,hero,ic,al,8
normality,norm,al,ity,9
pitifully,piti,ful,ly,9
formality,form,al,ity,9
womanizer,woman,iz,er,9
woodeness,wood,en,ness,9
wishfully,wish,ful,ly,9
witlessly,wit,less,ly,9
wistfully,wist,ful,ly,9
wakefully,wake,ful,ly,9
tunefully,tune,ful,ly,9
relational,relat,tion,al,10
naturalism,natur,al,ism,10
naturalist,natur,al,ist,10
naturalize,natur,al,ize,10
habitually,habit,ual,ly,10
allusively,allus,ive,ly,10
wrongfully,wrong,ful,ly,10
youthfully,youth,ful,ly,10
westernize,west,ern,ize,10
vengefully,venge,ful,ly,10
algebraical,algebra,ic,al,11
beautifully,beauti,ful,ly,11
tactfulness,tact,ful,ness,11
nationalism,nation,al,ism,11
nationalist,nation,al,ist,11
nationalize,nation,al,ize,11
maliciously,malic,ious,ly,11
ritualistic,ritual,ist,ic,11
analogously,analog,ous,ly,11
womanlyness,woman,ly,ness,11
witlessness,wit,less,ness,11
wistfulness,wist,ful,ness,11
friendliness,friend,li,ness,12
adabtability,adapt,abil,ity,12
thankfulness,thank,ful,ness,12
advisability,advis,abil,ity,12
isolationism,isolat,ion,ism,12
amateurishly,amateur,ish,ly,12
workableness,work,able,ness,12
youthfulness,youth,ful,ness,12
voluminously,volum,inous,ly,12
vengefulness,venge,ful,ness,12
wastefulness,waste,ful,ness,12
